Nue,Np,PtdBm,R,pCol
9,5,-10,2500,0.137767
10,5,-10,2500,0.148939
11,5,-10,2500,0.156235
12,5,-10,2500,0.162404
13,5,-10,2500,0.165722
14,5,-10,2500,0.16834
15,5,-10,2500,0.171176
16,5,-10,2500,0.171862
17,5,-10,2500,0.173388
18,5,-10,2500,0.173508
19,5,-10,2500,0.173626
7,6,-10,2500,0.049894
8,6,-10,2500,0.082287
9,6,-10,2500,0.104113
10,6,-10,2500,0.119347
11,6,-10,2500,0.13022
12,6,-10,2500,0.139298
13,6,-10,2500,0.145016
14,6,-10,2500,0.14945
15,6,-10,2500,0.15346
16,6,-10,2500,0.156627
17,6,-10,2500,0.158434
18,6,-10,2500,0.160308
19,6,-10,2500,0.161442
8,7,-10,2500,0.040909
9,7,-10,2500,0.069721
10,7,-10,2500,0.089841
11,7,-10,2500,0.104418
12,7,-10,2500,0.115856
13,7,-10,2500,0.124872
14,7,-10,2500,0.131069
15,7,-10,2500,0.136691
16,7,-10,2500,0.141072
17,7,-10,2500,0.144399
18,7,-10,2500,0.146623
19,7,-10,2500,0.149678
9,8,-10,2500,0.034084
10,8,-10,2500,0.060352
11,8,-10,2500,0.078246
12,8,-10,2500,0.092201
13,8,-10,2500,0.103194
14,8,-10,2500,0.113257
15,8,-10,2500,0.118956
16,8,-10,2500,0.125217
17,8,-10,2500,0.129667
18,8,-10,2500,0.133306
19,8,-10,2500,0.136394
10,9,-10,2500,0.029796
11,9,-10,2500,0.052602
12,9,-10,2500,0.069043
13,9,-10,2500,0.083024
14,9,-10,2500,0.093441
15,9,-10,2500,0.102253
16,9,-10,2500,0.109125
17,9,-10,2500,0.115089
18,9,-10,2500,0.120284
19,9,-10,2500,0.12478
11,10,-10,2500,0.025983
12,10,-10,2500,0.046656
13,10,-10,2500,0.062267
14,10,-10,2500,0.074764
15,10,-10,2500,0.085012
16,10,-10,2500,0.093928
17,10,-10,2500,0.101139
18,10,-10,2500,0.106427
19,10,-10,2500,0.11198
12,11,-10,2500,0.023169
13,11,-10,2500,0.041515
14,11,-10,2500,0.055961
15,11,-10,2500,0.068064
16,11,-10,2500,0.078255
17,11,-10,2500,0.086969
18,11,-10,2500,0.093273
19,11,-10,2500,0.099279
13,12,-10,2500,0.020617
14,12,-10,2500,0.03742
15,12,-10,2500,0.051492
16,12,-10,2500,0.062473
17,12,-10,2500,0.072054
18,12,-10,2500,0.080164
19,12,-10,2500,0.087067
14,13,-10,2500,0.018774
15,13,-10,2500,0.034051
16,13,-10,2500,0.047529
17,13,-10,2500,0.057798
18,13,-10,2500,0.066878
19,13,-10,2500,0.074569
15,14,-10,2500,0.016843
16,14,-10,2500,0.031
17,14,-10,2500,0.043135
18,14,-10,2500,0.053226
19,14,-10,2500,0.062482
16,15,-10,2500,0.015724
17,15,-10,2500,0.028805
18,15,-10,2500,0.040511
19,15,-10,2500,0.049575
17,16,-10,2500,0.014558
18,16,-10,2500,0.026948
19,16,-10,2500,0.037604
18,17,-10,2500,0.013445
19,17,-10,2500,0.024988
19,18,-10,2500,0.012342
